314c76bcc019	nonrunnable	http	rtc_collaboration_explicit_save_does_not_persist_live_editor_state	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/http-persistence-gen-4-20260502T225232Z/.triage-watcher/signatures/314c76bcc019/STATUS.md
3400dc6eee99	nonrunnable	http	rtc_crdt_top_level_reorder_after_nested_group_edit_grafts_inner_blocks_into_heading	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z/.triage-watcher/signatures/3400dc6eee99/STATUS.md
3668f1418804	nonrunnable	http	rtc_pullquote_move_causes_cross_peer_block_type_divergence	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-5-20260502T074048Z/.triage-watcher/signatures/3668f1418804/STATUS.md
367a573b0d6d	nonrunnable	http	rtc_block_move_corrupts_adjacent_paragraph_into_empty_group	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-15-20260503T125422Z/.triage-watcher/signatures/367a573b0d6d/STATUS.md
37c69948c4ea	passed-runnable	http	rtc_title_only_reload_divergence	test/e2e/specs/editor/collaboration/triage-4ba23abee72f-realistic.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-0/results.jsonl
388717ee691c	nonrunnable	http	rtc_reload_rehydrates_deleted_top_level_paragraph_as_duplicate_tail_after_move	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-12-20260502T091028Z/.triage-watcher/signatures/388717ee691c/STATUS.md
399aa6d85fbc	nonrunnable	http	rtc_save_serialization_collapses_to_plain_text_then_empty_after_pullquote_edit	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z/.triage-watcher/signatures/399aa6d85fbc/STATUS.md
433277f2564f	nonrunnable	http	rtc_empty_body_content_loss_after_save_reload	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-12-20260502T091028Z/.triage-watcher/signatures/433277f2564f/STATUS.md
4366dfe8d4e3	passed-runnable	http	table-adjacent top-level move merge corruption in crdt-blocks	test/e2e/specs/editor/collaboration/triage-4366dfe8d4e3-realistic.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505-http-2/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-2/results.jsonl
445d4b755b6d	passed-runnable	http	rtc_title_diverges_after_reload_without_save	test/e2e/specs/editor/collaboration/triage-4ba23abee72f-realistic.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505-http-3/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-3/results.jsonl
45c313bc2541	passed-runnable	http	top_level_move_reconciliation_preserves_wrong_yblock_after_remote_insert	test/e2e/specs/editor/collaboration/triage-64edf2f8cbab-realistic.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505-http-3/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-3/results.jsonl
466c82405961	nonrunnable	http	rtc-crdt-block-identity-bleed	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z/.triage-watcher/signatures/466c82405961/STATUS.md
47950776c34e	passed-runnable	http	rtc-save-reconciliation-empty-block-tree-on-entity-stress-content	test/e2e/specs/editor/collaboration/manifest/47950776c34e-rtc-save-reconciliation-empty-block-tree-on-entity-stress-content.spec.js	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-0/results.jsonl
48e8cc0cda16	passed-runnable	http	rtc_top_level_move_reconciliation_duplicates_one_concurrent_paragraph_and_drops_sibling	test/e2e/specs/editor/collaboration/manifest/48e8cc0cda16-rtc-top-level-move-reconciliation-duplicates-one-concurrent-paragraph-and-drops-.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-0/results.jsonl
4b0768058d04	nonrunnable	http	rtc_heading_grafts_group_children_after_top_level_move	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z/.triage-watcher/signatures/4b0768058d04/STATUS.md
4b50d5ef2b68	passed-runnable	websocket	rtc-delete-not-propagated-after-saved-remote-insert	test/e2e/specs/editor/collaboration/websocket/triage-4b50d5ef2b68-realistic.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505-ws-1/fuzz-handoff/distinct-manifest-20260505/results-refresh-websocket-shard-1/results.jsonl
4e50f848ad91	nonrunnable	http	RTC HTTP polling intermittently returns real `rest_no_route` 404s from `/wp-sync/v1/updates`, leading to disconnect/backoff and convergence failure	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/http-persistence-gen-4-20260502T225232Z/.triage-watcher/signatures/4e50f848ad91/STATUS.md
4e573e152bbc	nonrunnable	http	rtc_top_level_pullquote_insert_rebases_to_document_start	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-12-20260502T091028Z/.triage-watcher/signatures/4e573e152bbc/STATUS.md
4fd77a5be5ae	passed-runnable	http	rtc_title_reload_divergence_with_stale_persisted_title	test/e2e/specs/editor/collaboration/triage-4ba23abee72f-realistic.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505-http-3/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-3/results.jsonl
5103347eaffd	passed-runnable	http	rtc_top_level_move_reconciliation_shift_corrupts_heterogeneous_blocks	test/e2e/specs/editor/collaboration/triage-64edf2f8cbab-realistic.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505-http-2/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-2/results.jsonl
52a5fdf88134	nonrunnable	http	rtc_title_desync_after_reload_rejoin	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/http-persistence-gen-5-20260503T125437Z/.triage-watcher/signatures/52a5fdf88134/STATUS.md
55b54272df37	passed-runnable	websocket	rtc_ws_top_level_move_after_save_checkpoint_smears_paragraph_into_empty_group	test/e2e/specs/editor/collaboration/triage-814b5e3b7b80-realistic.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505-ws-0/fuzz-handoff/distinct-manifest-20260505/results-refresh-websocket-shard-0/results.jsonl
55b8fc0c524e	nonrunnable	http	rtc_delete_of_saved_checkpoint_paragraph_can_preserve_stale_checkpoint_content_and_duplicate_original_prefix	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-14-20260502T225744Z/.triage-watcher/signatures/55b8fc0c524e/STATUS.md
570f3e80485e	nonrunnable	http	rtc-transient-empty-editor-after-table-body-sync	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-18-20260504T170250Z/.triage-watcher/signatures/570f3e80485e/STATUS.md
58a3229d7ac7	passed-runnable	http	rtc_move_reconciliation_rewrites_neighboring_block_types_after_remote_shifts	test/e2e/specs/editor/collaboration/triage-64edf2f8cbab-realistic.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505-http-2/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-2/results.jsonl
59b7e7cdec39	nonrunnable	http	stale-local structural table body merge after remote divergence	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-12-20260502T091028Z/.triage-watcher/signatures/59b7e7cdec39/STATUS.md
59ce833d5884	passed-runnable	http	rtc_reload_reconciliation_persists_stale_or_empty_post_state	test/e2e/specs/editor/collaboration/triage-4ba23abee72f-realistic.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505-http-1/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-1/results.jsonl
5b05b2668f37	nonrunnable	websocket	rtc_ws_checkpoint_move_suffix_table_duplicate_with_paragraph_content_smear	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-13-20260502T225226Z/.triage-watcher/signatures/5b05b2668f37/STATUS.md
5bc6fa356c7c	passed-runnable	http	rtc_saved_search_checkpoint_reload_corrupts_crdt	test/e2e/specs/editor/collaboration/manifest/5bc6fa356c7c-rtc-saved-search-checkpoint-reload-corrupts-crdt.spec.ts	/Users/danluu/dev/fuzz/gutenberg-rtc-known-fixes-refresh-20260505/fuzz-handoff/distinct-manifest-20260505/results-refresh-http-shard-0/results.jsonl
5cc76c9ea03d	nonrunnable	http	rtc_saved_title_diverges_after_reload_under_fault_recovery	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/http-persistence-gen-4-20260502T225232Z/.triage-watcher/signatures/5cc76c9ea03d/STATUS.md
627bd1cfa5aa	nonrunnable	http	rtc_concurrent_paragraph_save_reload_corruption_empty_block_list	-	artifacts/rtc-browser-fuzz/mixed-http-ws-supervised-20260502-0007/ws-gen-3-20260502T070839Z/.triage-watcher/signatures/627bd1cfa5aa/STATUS.md
