feature,count,feature_category
cdp:9a16d6c661abcb5f,1,code coverage
total-blocks:18,23,other
cdp:b5aa5cfd63a9f59c,1,code coverage
cdp:82b5a46cd6b40caa,1,code coverage
cdp:47df340f371762a4,1,code coverage
cdp:28ee8443c4d3e0f9,1,code coverage
cdp:8d4c6540b36cf9c6,1,code coverage
cdp:f6f0ac8fcc1324c5,1,code coverage
cdp:adf7e62d715a27a3,1,code coverage
cdp:2551d26ca607bd5c,1,code coverage
cdp:84d7f2f7221d18ff,1,code coverage
cdp:241d3f38952c09ae,1,code coverage
cdp:0400188ebb6ceb32,1,code coverage
cdp:75ecd108e8e01ece,1,code coverage
cdp:ea4066fb5abddbe7,1,code coverage
cdp:03993b24ba49a535,1,code coverage
cdp:989df7f6d7d4b632,1,code coverage
cdp:b50261c6557bb11b,1,code coverage
history:final-ui-witness-sweep:fail,7,history
collaborator-mode:same-user,70,collaborator
step-count:24,74,step-count
action:insert-nested-group,150,action
action:edit-nested-paragraph,136,action
action-pair:concurrent-paragraphs->insert-nested-group,21,action-pair
action-pair:insert-nested-group->edit-title,6,action-pair
action-pair:edit-title->edit-nested-paragraph,5,action-pair
action-pair:edit-nested-paragraph->edit-paragraph,17,action-pair
history-label:action:insert-nested-group:invoke,150,history
history-label:action:insert-nested-group:ok,150,history
history-label:action:edit-nested-paragraph:invoke,136,history
history-label:action:edit-nested-paragraph:ok,136,history
operation-ledger-created:5,11,operation-ledger
operation-ledger-live:2,58,operation-ledger
operation-event-action:witnessed:insert-nested-group:content,150,operation-ledger
operation-event-action:invalidated:edit-nested-paragraph:content,108,operation-ledger
total-blocks:9,25,other
payload-size-profile:session-lifecycle:10,67,payload-size
block-depth:core/heading:1,181,block-depth
action-pair:edit-paragraph->move-block,34,action-pair
action-pair:move-block->insert-nested-group,18,action-pair
action-pair:insert-nested-group->edit-paragraph,24,action-pair
action-pair:edit-paragraph->insert-paragraph,50,action-pair
action-pair:insert-paragraph->append-paragraph,38,action-pair
action-pair:append-paragraph->delete-block,32,action-pair
action-pair:delete-block->edit-paragraph,48,action-pair
action-pair:delete-block->edit-table-array-attributes,37,action-pair
action-pair:edit-table-array-attributes->concurrent-paragraphs,33,action-pair
action-pair:edit-title->move-block,7,action-pair
action-pair:edit-paragraph->concurrent-paragraphs,35,action-pair
action-pair:insert-nested-group->concurrent-paragraphs,24,action-pair
action-pair:edit-paragraph->edit-title,6,action-pair
total-blocks:29,14,other
action-pair:edit-nested-paragraph->edit-nested-paragraph,26,action-pair
action-pair:edit-nested-paragraph->concurrent-paragraphs,19,action-pair
action-pair:insert-nested-group->move-block,26,action-pair
action-pair:move-block->insert-heading,43,action-pair
action-pair:insert-heading->edit-nested-paragraph,24,action-pair
action-pair:edit-nested-paragraph->insert-paragraph,23,action-pair
action-pair:insert-paragraph->edit-title,7,action-pair
action-pair:edit-title->delete-block,4,action-pair
action-pair:delete-block->append-paragraph,37,action-pair
action-pair:edit-title->insert-nested-group,9,action-pair
action-pair:insert-nested-group->delete-block,28,action-pair
action-pair:move-block->edit-table-array-attributes,41,action-pair
action-pair:edit-table-array-attributes->insert-heading,55,action-pair
action-pair:append-paragraph->append-paragraph,41,action-pair
save-count:1,413,save
action-pair:edit-nested-paragraph->insert-heading,21,action-pair
action-pair:append-paragraph->insert-paragraph,39,action-pair
action-pair:insert-paragraph->insert-paragraph,47,action-pair
action-pair:insert-paragraph->move-block,53,action-pair
action-pair:move-block->move-block,67,action-pair
history:save-checkpoint:fail,83,history
operation-ledger-live:5,12,operation-ledger
action-pair:concurrent-paragraphs->delete-block,37,action-pair
action-pair:delete-block->insert-heading,45,action-pair
action-pair:insert-heading->delete-block,35,action-pair
action-pair:append-paragraph->move-block,38,action-pair
action-pair:move-block->delete-block,25,action-pair
action-pair:delete-block->insert-paragraph,29,action-pair
total-blocks:17,45,other
action-pair:move-block->append-paragraph,43,action-pair
action-pair:append-paragraph->edit-paragraph,31,action-pair
action-pair:delete-block->concurrent-paragraphs,35,action-pair
action-pair:concurrent-paragraphs->move-block,61,action-pair
action-pair:edit-table-array-attributes->delete-block,43,action-pair
action-pair:concurrent-paragraphs->edit-table-array-attributes,35,action-pair
action-pair:concurrent-paragraphs->insert-heading,43,action-pair
action-pair:insert-heading->edit-table-array-attributes,53,action-pair
action-pair:delete-block->delete-block,34,action-pair
action-pair:insert-heading->edit-paragraph,55,action-pair
payload-size-profile:persistence-no-title:9,10,payload-size
action-pair:insert-heading->insert-heading,40,action-pair
action-pair:insert-heading->move-block,61,action-pair
action-pair:insert-paragraph->insert-heading,39,action-pair
total-blocks:12,54,other
total-blocks:13,39,other
action-pair:move-block->concurrent-paragraphs,51,action-pair
profile:block-gauntlet,11,profile
transport-profile:ws:block-gauntlet,11,transport
initial:deprecated-block-content,98,initial-content
profile:common-blocks,10,profile
transport-profile:ws:common-blocks,10,transport
profile:multi-reload-lifecycle,34,profile
transport-profile:ws:multi-reload-lifecycle,34,transport
initial:equivalent-html-content,99,initial-content
profile:parser-serialization,20,profile
transport-profile:ws:parser-serialization,20,transport
profile:parser-transform,20,profile
transport-profile:ws:parser-transform,20,transport
profile:real-user-editing,278,profile
transport-profile:ws:real-user-editing,278,transport
profile:revision-persistence,22,profile
transport-profile:ws:revision-persistence,22,transport
transport-profile:ws:session-lifecycle,35,transport
profile:three-user-late-join,39,profile
transport-profile:ws:three-user-late-join,39,transport
profile:full,207,profile
transport-profile:http:full,80,transport
block:core/file,4,block
action:edit-block-gauntlet-attributes,74,action
action:reparse-edited-content,32,action
action-pair:edit-block-gauntlet-attributes->edit-block-gauntlet-attributes,13,action-pair
action-pair:edit-block-gauntlet-attributes->reparse-edited-content,3,action-pair
history-label:action:edit-block-gauntlet-attributes:invoke,74,history
history-label:action:edit-block-gauntlet-attributes:ok,74,history
history-label:action:reparse-edited-content:invoke,32,history
history-label:action:reparse-edited-content:ok,32,history
total-blocks:7,13,other
payload-size-profile:full:10,26,payload-size
block-depth:core/file:0,4,block-depth
block:core/button,79,block
block:core/buttons,79,block
block:core/more,4,block
block:core/pullquote,24,block
block:core/separator,123,block
block:core/spacer,60,block
block:core/verse,64,block
action:edit-common-block-attributes,33,action
action:insert-block-gauntlet-block,26,action
action:edit-rich-text-pair-block,25,action
action-pair:edit-common-block-attributes->insert-block-gauntlet-block,2,action-pair
action-pair:insert-block-gauntlet-block->edit-common-block-attributes,2,action-pair
